Segment,PropReg,PropWeek,PropBase,Distance,Winner,Margin
92-PAK-RMT,"(0.049586776859504134, 'Weekday')","(0.09090909090909091, 'Regular')","(0.23140495867768596, 'Baseline')",10,Baseline,0.14049586776859505
92-PAK-SAV,"(0.09090909090909091, 'Regular')","(0.15702479338842976, 'Weekday')","(0.32231404958677684, 'Baseline')",2,Baseline,0.16528925619834708
92-PHL-NWK,"(0.1592920353982301, 'Baseline')","(0.5398230088495575, 'Weekday')","(0.6017699115044248, 'Regular')",2,Regular,0.06194690265486735
92-PHL-TRE,"(0.5929203539823009, 'Baseline')","(0.7699115044247787, 'Weekday')","(0.8495575221238938, 'Regular')",1,Regular,0.07964601769911506
92-PTB-PHL,"(0.09734513274336283, 'Baseline')","(0.1415929203539823, 'Weekday')","(0.20353982300884957, 'Regular')",6,Regular,0.06194690265486727
92-PTB-TRE,"(0.11504424778761062, 'Baseline')","(0.13274336283185842, 'Weekday')","(0.18584070796460178, 'Regular')",7,Regular,0.05309734513274336
92-PTB-WIL,"(0.12389380530973451, 'Baseline')","(0.1415929203539823, 'Weekday')","(0.19469026548672566, 'Regular')",5,Regular,0.05309734513274336
92-RMT-PTB,"(0.2764227642276423, 'Regular')","(0.34959349593495936, 'Weekday')","(0.5121951219512195, 'Baseline')",1,Baseline,0.16260162601626016
92-RMT-RVR,"(0.24390243902439024, 'Regular')","(0.2845528455284553, 'Weekday')","(0.3821138211382114, 'Baseline')",2,Baseline,0.09756097560975613
92-RMT-TRE,"(0.10619469026548672, 'Baseline')","(0.11504424778761062, 'Weekday')","(0.17699115044247787, 'Regular')",8,Regular,0.061946902654867256
92-RVR-ALX,"(0.2032520325203252, 'Regular')","(0.22764227642276422, 'Weekday')","(0.35772357723577236, 'Baseline')",1,Baseline,0.13008130081300814
92-SAV-ALX,"(0.07317073170731707, 'Regular')","(0.07317073170731707, 'Weekday')","(0.16260162601626016, 'Baseline')",11,Baseline,0.08943089430894309
92-SAV-CAM,"(0.15447154471544716, 'Regular')","(0.18699186991869918, 'Weekday')","(0.2764227642276423, 'Baseline')",3,Baseline,0.0894308943089431
92-SAV-CLB,"(0.15447154471544716, 'Weekday')","(0.16260162601626016, 'Regular')","(0.3252032520325203, 'Baseline')",2,Baseline,0.16260162601626016
92-SAV-CYN,"(0.13008130081300814, 'Weekday')","(0.14634146341463414, 'Regular')","(0.21138211382113822, 'Baseline')",6,Baseline,0.06504065040650409
92-SAV-RMT,"(0.11382113821138211, 'Weekday')","(0.15447154471544716, 'Regular')","(0.22764227642276422, 'Baseline')",8,Baseline,0.07317073170731705
92-SAV-RVR,"(0.08130081300813008, 'Regular')","(0.08130081300813008, 'Weekday')","(0.17073170731707318, 'Baseline')",10,Baseline,0.0894308943089431
92-SBG-CAM,"(0.1, 'Regular')","(0.10833333333333334, 'Weekday')","(0.19166666666666668, 'Baseline')",14,Baseline,0.08333333333333334
92-SBG-CLB,"(0.08264462809917356, 'Regular')","(0.10743801652892562, 'Weekday')","(0.17355371900826447, 'Baseline')",13,Baseline,0.06611570247933884
92-SBG-PHL,"(0.02654867256637168, 'Regular')","(0.02654867256637168, 'Weekday')","(0.08849557522123894, 'Baseline')",26,Baseline,0.061946902654867256
92-SBG-RMT,"(0.04918032786885246, 'Regular')","(0.05737704918032787, 'Weekday')","(0.1885245901639344, 'Baseline')",19,Baseline,0.13114754098360654
92-SBG-RVR,"(0.02459016393442623, 'Regular')","(0.05737704918032787, 'Weekday')","(0.12295081967213115, 'Baseline')",21,Baseline,0.06557377049180327
92-SBG-SAV,"(0.08196721311475409, 'Regular')","(0.11475409836065574, 'Weekday')","(0.22950819672131148, 'Baseline')",11,Baseline,0.11475409836065574
92-SBG-TRE,"(0.008849557522123894, 'Regular')","(0.035398230088495575, 'Weekday')","(0.09734513274336283, 'Baseline')",27,Baseline,0.061946902654867256
92-SBG-WPK,"(0.19672131147540983, 'Baseline')","(0.2786885245901639, 'Weekday')","(0.3360655737704918, 'Regular')",7,Regular,0.05737704918032788
92-SOP-CYN,"(0.24390243902439024, 'Baseline')","(0.8130081300813008, 'Weekday')","(0.9105691056910569, 'Regular')",1,Regular,0.09756097560975607
92-SOP-NWK,"(0.04065040650406504, 'Baseline')","(0.11382113821138211, 'Regular')","(0.17073170731707318, 'Weekday')",12,Weekday,0.056910569105691075
92-SOP-RGH,"(0.07317073170731707, 'Baseline')","(0.6097560975609756, 'Weekday')","(0.6666666666666666, 'Regular')",2,Regular,0.05691056910569103
92-SOP-RMT,"(0.1951219512195122, 'Regular')","(0.23577235772357724, 'Baseline')","(0.3170731707317073, 'Weekday')",3,Weekday,0.08130081300813008
92-TPA-DLD,"(0.26229508196721313, 'Baseline')","(0.29508196721311475, 'Weekday')","(0.36885245901639346, 'Regular')",5,Regular,0.07377049180327871
92-TPA-PAK,"(0.19834710743801653, 'Baseline')","(0.2809917355371901, 'Weekday')","(0.34710743801652894, 'Regular')",6,Regular,0.06611570247933884
92-TPA-RVR,"(0.02459016393442623, 'Weekday')","(0.07377049180327869, 'Regular')","(0.13114754098360656, 'Baseline')",18,Baseline,0.05737704918032788
92-TPA-SOP,"(0.04132231404958678, 'Regular')","(0.049586776859504134, 'Baseline')","(0.10743801652892562, 'Weekday')",13,Weekday,0.05785123966942149
92-TPA-WAS,"(0.06837606837606838, 'Regular')","(0.06837606837606838, 'Weekday')","(0.1282051282051282, 'Baseline')",20,Baseline,0.05982905982905981
92-TPA-WPK,"(0.27049180327868855, 'Baseline')","(0.3114754098360656, 'Weekday')","(0.36885245901639346, 'Regular')",4,Regular,0.05737704918032788
92-WIL-NWK,"(0.10619469026548672, 'Baseline')","(0.5132743362831859, 'Weekday')","(0.5929203539823009, 'Regular')",3,Regular,0.07964601769911506
92-WIL-TRE,"(0.39823008849557523, 'Baseline')","(0.6991150442477876, 'Weekday')","(0.7699115044247787, 'Regular')",2,Regular,0.07079646017699115
92-WPB-CAM,"(0.041666666666666664, 'Regular')","(0.1, 'Weekday')","(0.18333333333333332, 'Baseline')",16,Baseline,0.08333333333333331
92-WPB-CLB,"(0.0743801652892562, 'Weekday')","(0.09917355371900827, 'Regular')","(0.2066115702479339, 'Baseline')",15,Baseline,0.10743801652892562
92-WPB-DLD,"(0.13934426229508196, 'Weekday')","(0.14754098360655737, 'Regular')","(0.45081967213114754, 'Baseline')",10,Baseline,0.30327868852459017
92-WPB-DNK,"(0.05737704918032787, 'Regular')","(0.05737704918032787, 'Weekday')","(0.14754098360655737, 'Baseline')",14,Baseline,0.0901639344262295
92-WPB-KIS,"(0.10655737704918032, 'Regular')","(0.12295081967213115, 'Weekday')","(0.32786885245901637, 'Baseline')",7,Baseline,0.20491803278688522
92-WPB-LAK,"(0.11475409836065574, 'Weekday')","(0.1557377049180328, 'Regular')","(0.36885245901639346, 'Baseline')",6,Baseline,0.21311475409836067
92-WPB-NYP,"(0.04132231404958678, 'Regular')","(0.049586776859504134, 'Weekday')","(0.14049586776859505, 'Baseline')",31,Baseline,0.09090909090909091
92-WPB-ORL,"(0.09836065573770492, 'Regular')","(0.13934426229508196, 'Weekday')","(0.29508196721311475, 'Baseline')",8,Baseline,0.1557377049180328
92-WPB-PAK,"(0.14049586776859505, 'Weekday')","(0.1652892561983471, 'Regular')","(0.3884297520661157, 'Baseline')",11,Baseline,0.22314049586776857
92-WPB-PTB,"(0.06557377049180328, 'Regular')","(0.08196721311475409, 'Weekday')","(0.14754098360655737, 'Baseline')",22,Baseline,0.06557377049180328
92-WPB-RMT,"(0.07377049180327869, 'Regular')","(0.07377049180327869, 'Weekday')","(0.1885245901639344, 'Baseline')",21,Baseline,0.11475409836065573
92-WPB-SAV,"(0.07377049180327869, 'Regular')","(0.09836065573770492, 'Weekday')","(0.30327868852459017, 'Baseline')",13,Baseline,0.20491803278688525
92-WPB-TRE,"(0.035398230088495575, 'Weekday')","(0.04424778761061947, 'Regular')","(0.09734513274336283, 'Baseline')",29,Baseline,0.05309734513274336
92-WPB-WPK,"(0.09836065573770492, 'Regular')","(0.18032786885245902, 'Weekday')","(0.47540983606557374, 'Baseline')",9,Baseline,0.29508196721311475
